cidade,area,quartos,banheiros,vagas,andar,animal,mobiliado,condominio,aluguel,iptu,total
Sao Paulo,70,2,1,1,7,1,1,2065,3300,211,5618
Sao Paulo,320,4,4,0,20,1,0,1200,4960,1750,7973
Porto Alegre,80,1,1,1,6,1,0,1000,2800,0,3841
Porto Alegre,51,2,1,0,2,1,0,270,1112,22,1421
Sao Paulo,25,1,1,0,1,0,0,0,800,25,836
Sao Paulo,376,3,3,7,0,1,0,0,8000,834,8955
Rio de Janeiro,72,2,1,0,7,1,0,740,1900,85,2750
Sao Paulo,213,4,4,4,4,1,0,2254,3223,1735,7253
Sao Paulo,152,2,2,1,3,1,1,1000,15000,250,16440
Rio de Janeiro,35,1,1,0,2,1,1,590,2300,35,2955
Sao Paulo,26,1,1,0,2,1,1,470,2100,150,2747
Campinas,46,1,1,1,10,1,0,550,580,43,1181
Sao Paulo,36,1,1,0,11,1,0,359,2100,70,2556
Sao Paulo,55,1,1,1,2,1,1,790,4200,224,5268
Sao Paulo,100,2,2,2,24,1,1,900,4370,17,5343
Campinas,330,4,6,6,0,1,1,680,8000,328,9129
Sao Paulo,110,2,2,1,1,1,0,700,3000,122,3861
Rio de Janeiro,88,2,3,1,9,0,1,1614,3500,221,5351
Rio de Janeiro,56,2,1,0,8,1,0,800,1220,0,2036
Sao Paulo,600,4,5,6,0,1,0,0,12000,9500,21680
Sao Paulo,100,7,4,0,0,1,0,0,3800,118,3976
Belo Horizonte,42,1,1,1,17,0,1,470,2690,172,3368
Sao Paulo,160,3,2,2,18,1,1,1530,1900,167,3622
Sao Paulo,35,1,1,0,0,1,0,0,1100,3,1117
Rio de Janeiro,90,3,2,1,7,1,0,800,1800,118,2742
Sao Paulo,49,1,1,1,10,1,0,480,3500,42,4067
Sao Paulo,41,1,1,1,5,0,1,600,3000,0,3639
Belo Horizonte,64,2,2,1,11,1,0,352,1500,80,1952
Campinas,208,3,2,4,0,1,0,0,3180,100,3328
Sao Paulo,20,1,1,0,5,1,1,602,1800,130,2555
Sao Paulo,55,2,2,2,6,1,0,780,1068,142,2004
Sao Paulo,32,1,1,0,3,1,0,515,1700,29,2266
Sao Paulo,80,2,2,1,11,1,0,1208,2550,216,4007
Rio de Janeiro,45,1,1,1,10,1,1,2450,2500,593,5576
Sao Paulo,350,4,4,3,8,1,0,2100,4000,500,6651
Porto Alegre,38,1,1,2,11,0,0,450,1750,0,2226
Sao Paulo,30,1,1,0,1,1,0,460,1600,0,2081
Belo Horizonte,80,3,2,1,0,1,0,0,11000,425,11610
Sao Paulo,70,2,1,0,0,0,0,0,1150,59,1227
Porto Alegre,40,1,1,1,6,1,1,390,2990,0,3424
Sao Paulo,300,4,6,4,20,1,0,3700,12000,1584,17440
Sao Paulo,240,3,2,3,0,1,0,0,3500,292,3845
Belo Horizonte,200,4,2,1,7,0,0,850,2550,9,3443
Belo Horizonte,45,1,1,1,5,1,0,500,1631,192,2335
Sao Paulo,360,4,5,0,1,1,0,4000,6410,2000,12490
Sao Paulo,40,1,1,1,10,1,1,978,2829,0,3840
Belo Horizonte,100,3,1,0,13,0,0,700,1220,10,1947
Porto Alegre,42,1,1,2,2,1,1,190,1770,17,2003
Campinas,250,3,3,2,1,1,0,2200,1700,256,4178
Campinas,48,1,1,1,2,1,1,505,1600,59,2185
Rio de Janeiro,90,3,3,1,10,1,0,1250,3800,147,5246
